order_id,customer_id,order_date,payment_mode,total_amount
500147,3258,8/20/2023,NetBanking,40650
500148,6907,12/7/2022,NetBanking,8838
500149,9299,5/9/2025,UPI,181800
500150,1531,6/1/2025,NetBanking,53244
500151,9993,2/8/2025,Cash on Delivery,360636
500152,3853,12/16/2022,Wallet,245053
500153,1128,2/1/2023,Cash on Delivery,171261
500154,8089,5/22/2024,UPI,241996
500155,8025,9/25/2022,Debit Card,45769
500156,5136,9/16/2022,UPI,204264
500157,4803,3/19/2025,Debit Card,529596
500158,6322,10/18/2023,Wallet,136847
500159,2058,7/24/2024,Debit Card,78644
500160,6069,5/28/2025,NetBanking,34475
500161,5392,7/7/2024,Credit Card,152974
500162,9120,10/8/2024,Debit Card,237020
500163,2532,11/11/2024,NetBanking,14183
500164,4270,2/16/2024,UPI,187454
500165,4473,8/11/2025,Wallet,458806
500166,9309,11/19/2024,Credit Card,703910
500167,7056,6/24/2024,Debit Card,6300
500168,3085,4/1/2025,Cash on Delivery,486244
500169,2714,9/16/2024,Cash on Delivery,3723
500170,7477,10/7/2024,NetBanking,56646
500171,2306,12/14/2024,NetBanking,106203
500172,6646,11/28/2024,UPI,195916
500173,6955,9/18/2024,UPI,21637
500174,3401,8/4/2025,Debit Card,30168
500175,7796,9/4/2022,UPI,253294
500176,2313,5/30/2024,UPI,101639
500177,1997,12/28/2024,Cash on Delivery,15083
500178,925,5/6/2025,NetBanking,201346
500179,8525,7/9/2024,Wallet,150000
500180,1407,12/27/2024,Wallet,36800
500181,7199,5/12/2025,UPI,92008
500182,2968,12/29/2023,UPI,150061
500183,2241,8/6/2024,NetBanking,202091
500184,9201,5/27/2023,Cash on Delivery,78580
500185,4452,8/11/2024,UPI,77921
500186,4070,4/1/2024,Debit Card,189366
500187,2363,7/4/2023,Credit Card,230673
500188,5088,9/18/2024,Debit Card,237776
500189,693,2/26/2025,Credit Card,136522
500190,6422,7/10/2025,NetBanking,127413
500191,6148,3/20/2024,Cash on Delivery,69655
500192,7292,7/16/2024,Cash on Delivery,286148
500193,2482,8/24/2023,NetBanking,105139
500194,2869,7/12/2023,NetBanking,5904
500195,5293,5/9/2025,Wallet,9847
500196,1270,6/6/2025,Credit Card,8946
500197,6342,10/16/2023,Cash on Delivery,208262
500198,9856,6/15/2022,Cash on Delivery,53400
500199,8853,4/27/2023,Wallet,31516
500200,191,1/17/2025,UPI,63710
500201,8931,8/10/2025,Wallet,201569
500202,1035,7/19/2023,Credit Card,132820
500203,7801,6/30/2025,Wallet,543192
500204,4207,4/7/2025,NetBanking,197100
500205,4361,5/4/2024,Cash on Delivery,29629
500206,9875,8/31/2024,UPI,423222
500207,597,4/18/2024,NetBanking,1435
500208,2280,1/22/2022,Wallet,86854
500209,3049,7/26/2025,Debit Card,104220
500210,1218,1/25/2025,Wallet,29990
500211,3056,9/1/2022,Cash on Delivery,157435
500212,6909,11/13/2024,NetBanking,94292
500213,628,3/14/2025,Debit Card,677179
500214,2742,6/11/2024,UPI,21942
500215,3545,3/4/2024,Credit Card,188101
500216,3186,6/9/2025,UPI,30731
500217,2134,1/11/2025,UPI,12503
500218,7521,12/31/2023,Cash on Delivery,27920
500219,1326,1/30/2025,Wallet,47327
500220,9751,12/17/2024,Credit Card,82080
500221,5956,8/10/2025,Wallet,118442
500222,9522,9/24/2024,Wallet,38984
500223,7263,12/29/2022,NetBanking,86379
500224,3923,2/4/2024,UPI,161871
500225,9601,9/21/2024,UPI,694268
500226,8742,3/6/2024,NetBanking,45714
500227,4714,9/7/2024,NetBanking,10920
500228,9650,10/25/2024,Credit Card,38043
500229,4348,4/14/2025,Wallet,133699
500230,1271,12/14/2024,UPI,748639
500231,5530,4/30/2024,Wallet,22113
500232,4245,3/9/2025,Wallet,38807
500233,3558,7/1/2024,NetBanking,39649
500234,7459,3/26/2024,NetBanking,199674
500235,6583,4/27/2024,UPI,11160
500236,7211,11/9/2024,NetBanking,19100
500237,4880,7/11/2025,Debit Card,26904
500238,6077,4/11/2023,UPI,227653
500239,9205,1/2/2025,NetBanking,79004
500240,5471,3/22/2023,UPI,34248
500241,3074,4/18/2025,Credit Card,96680
500242,1201,1/17/2025,Debit Card,70408
500243,4027,8/13/2022,Wallet,107703
500244,1397,6/11/2024,NetBanking,91568
500245,163,5/8/2024,UPI,267982
500246,4352,2/22/2024,Credit Card,479700
500247,8506,7/23/2025,Cash on Delivery,26650
500248,2361,5/7/2025,UPI,21321
500249,3985,6/29/2023,Credit Card,160524
500250,2968,3/23/2025,Debit Card,56351
500251,5007,1/4/2025,UPI,319458
500252,6001,7/31/2024,Wallet,635100
500253,8369,7/20/2025,NetBanking,581100
500254,5539,5/11/2025,Wallet,224487
500255,8424,12/14/2024,Cash on Delivery,14430
500256,6786,3/28/2025,UPI,355500
500257,9367,11/12/2024,UPI,85101
500258,8454,10/31/2023,NetBanking,18405
500259,3627,7/20/2025,Cash on Delivery,238945
500260,7161,6/30/2025,Cash on Delivery,107084
500261,5762,4/4/2025,Debit Card,91178
500262,3303,10/25/2024,Debit Card,106020
500263,2421,6/1/2023,Credit Card,12769
500264,7694,3/8/2025,NetBanking,180876
500265,5703,7/26/2025,Wallet,11555
500266,3278,6/15/2024,Debit Card,11640
500267,6083,5/30/2024,NetBanking,18488
500268,5693,6/20/2025,Debit Card,595895
500269,2957,8/7/2025,Credit Card,67120
500270,9500,7/16/2025,Wallet,248886
500271,5731,4/26/2023,NetBanking,773036
500272,345,6/16/2023,Debit Card,7857
500273,6083,10/13/2024,UPI,40017
500274,851,6/11/2023,Debit Card,166690
500275,7844,7/1/2025,Credit Card,52602
500276,1340,6/9/2024,UPI,23951
500277,3953,10/31/2022,Debit Card,64892
500278,8046,8/4/2025,NetBanking,166729
500279,6925,6/29/2022,Debit Card,106870
500280,3450,12/4/2023,Wallet,137744
500281,3136,9/2/2024,UPI,204802
500282,7274,11/3/2024,Wallet,147777
500283,1512,5/11/2025,Credit Card,148543
500284,1737,4/6/2024,Credit Card,397831
500285,4082,5/12/2022,Credit Card,355627
500286,5446,7/10/2023,UPI,440468
500287,4838,1/4/2025,UPI,281840
500288,5147,10/21/2024,Credit Card,237283
500289,6300,11/18/2024,NetBanking,473205
500290,7946,11/9/2024,Debit Card,250660
500291,1228,11/23/2023,NetBanking,91068
500292,2059,8/14/2025,Cash on Delivery,481957
500293,4975,5/2/2025,Cash on Delivery,5056
500294,1357,3/17/2025,NetBanking,44640
500295,6927,3/4/2025,Debit Card,142843
500296,7840,3/19/2025,Credit Card,263529
500297,9135,7/17/2023,Credit Card,95734
500298,4124,10/13/2024,Debit Card,137520
500299,8460,10/23/2023,NetBanking,426398
500300,944,12/7/2024,Cash on Delivery,55480
500301,5216,4/26/2025,Debit Card,265060
500302,8628,6/4/2024,NetBanking,154065
500303,1116,10/26/2024,Debit Card,168000
500304,6645,4/17/2025,Cash on Delivery,69431
500305,4015,6/1/2024,NetBanking,114868
500306,5068,9/1/2022,NetBanking,16817
500307,9632,7/1/2024,Credit Card,338770
500308,5447,12/4/2024,UPI,139920
500309,2210,8/4/2025,UPI,230709
500310,3909,8/4/2023,Debit Card,244576
500311,3810,9/14/2024,Credit Card,13840
500312,8822,4/24/2025,Debit Card,91784
500313,2421,9/9/2023,NetBanking,221275
500314,471,10/18/2024,Credit Card,6618
500315,4651,6/30/2025,Cash on Delivery,59916
500316,336,6/3/2024,NetBanking,140595
500317,4115,12/18/2023,UPI,393157
500318,6047,3/20/2024,UPI,286848
500319,3397,3/27/2023,Wallet,176684
500320,4395,8/6/2025,Cash on Delivery,33433
500321,21,7/20/2025,NetBanking,833272
500322,9726,8/29/2024,Debit Card,141823
500323,4109,6/11/2025,Wallet,354148
500324,2417,11/13/2022,Debit Card,299873
500325,3477,1/14/2025,Credit Card,6853
500326,6183,1/9/2025,Wallet,35289
500327,452,12/8/2024,Wallet,534601
500328,3814,11/27/2023,NetBanking,86767
500329,2982,7/9/2024,Credit Card,29100
500330,1112,9/28/2024,Debit Card,42986
500331,1768,10/1/2023,UPI,196469
500332,5766,7/1/2024,Wallet,1987
500333,7696,9/1/2024,Cash on Delivery,100321
500334,9574,7/31/2024,Wallet,31731
500335,2716,5/30/2025,NetBanking,99313
500336,4565,3/13/2024,Cash on Delivery,313451
500337,2858,3/13/2025,Credit Card,71654
500338,3848,1/19/2025,NetBanking,205368
500339,5271,6/3/2024,Credit Card,157860
500340,2070,1/13/2025,Cash on Delivery,29835
500341,864,8/15/2025,NetBanking,145291
500342,9054,9/13/2024,Credit Card,74813
500343,3168,5/22/2025,Cash on Delivery,212557
500344,4998,9/28/2023,Cash on Delivery,131530
500345,8794,3/1/2024,UPI,653386
500346,8812,6/1/2025,Debit Card,704296
500347,2557,5/20/2025,UPI,139879
500348,4281,7/4/2025,Debit Card,251618
500349,8483,3/4/2023,Wallet,17018
500350,9970,10/30/2024,Wallet,63992
500351,2030,4/25/2025,UPI,79920
500352,8748,6/9/2025,Debit Card,169383
500353,8795,11/27/2024,NetBanking,79839
500354,3605,9/14/2023,Credit Card,144218
500355,9806,8/18/2024,UPI,363179
500356,5881,5/10/2024,Wallet,57583
500357,6920,6/9/2025,Credit Card,369999
500358,8714,5/5/2023,Cash on Delivery,117284
500359,9572,3/12/2024,Credit Card,99738
500360,6622,9/8/2022,UPI,86427
500361,7794,4/5/2024,Cash on Delivery,4771
500362,7079,3/17/2024,Wallet,227747
500363,3605,8/5/2023,NetBanking,41660
500364,4423,3/26/2025,NetBanking,589461
500365,6482,10/2/2023,UPI,8208
500366,4703,5/17/2025,Wallet,73413
500367,6041,5/22/2025,UPI,1207
500368,79,4/28/2024,NetBanking,81000
500369,5125,8/10/2025,Wallet,346405
500370,7595,12/24/2024,Debit Card,17886
500371,904,2/7/2023,Credit Card,94500
500372,9285,2/23/2025,NetBanking,169480
500373,7251,10/21/2023,NetBanking,80704
500374,3809,3/7/2024,UPI,69605
500375,5669,6/5/2024,Cash on Delivery,159648
500376,5501,1/6/2024,Cash on Delivery,73134
500377,3073,5/5/2024,NetBanking,131112
500378,604,12/12/2022,UPI,321387
500379,5338,7/20/2025,Credit Card,161520
500380,6853,3/19/2024,Debit Card,150000
500381,5447,5/4/2024,Wallet,148314
500382,2007,1/11/2025,NetBanking,405162
500383,2794,8/20/2024,UPI,260296
500384,5856,7/28/2025,Cash on Delivery,100381
500385,7214,1/31/2024,NetBanking,80587
500386,8894,9/6/2024,Credit Card,127008
500387,5943,7/25/2024,Credit Card,46778
500388,4614,6/18/2022,NetBanking,132618
500389,6755,4/15/2025,NetBanking,177046
500390,735,3/13/2023,NetBanking,712387
500391,2725,10/27/2023,Debit Card,78958
500392,3651,5/2/2025,Debit Card,118795
500393,9412,6/20/2024,Wallet,36100
500394,439,8/15/2023,UPI,79441
500395,8073,4/1/2024,UPI,52592
500396,5056,2/23/2024,UPI,155232
500397,4371,8/3/2024,Credit Card,499757
500398,4051,9/22/2024,Debit Card,244130
500399,3062,1/11/2025,Cash on Delivery,555123
500400,1111,8/8/2025,NetBanking,276731
500401,4879,6/30/2023,Credit Card,565981
500402,71,7/20/2024,NetBanking,163254
500403,5602,12/28/2024,Credit Card,32083
500404,9475,5/28/2023,NetBanking,8478
500405,8671,7/29/2022,NetBanking,239532
500406,9998,7/4/2025,Debit Card,191028
500407,2262,2/14/2022,Debit Card,287935
500408,3096,5/21/2025,Credit Card,450087
500409,9862,9/22/2024,Cash on Delivery,305998
500410,1803,6/14/2025,UPI,5623
500411,3249,11/19/2024,Cash on Delivery,5123
500412,6624,1/18/2025,Credit Card,24647
500413,1324,10/26/2023,Debit Card,80100
500414,669,12/13/2024,NetBanking,8760
500415,3086,7/25/2025,Debit Card,137232
500416,6683,7/19/2024,Wallet,331856
500417,4838,7/12/2024,UPI,4329
500418,9006,10/22/2024,UPI,409701
500419,5280,9/1/2023,UPI,87887
500420,3934,5/20/2023,Debit Card,13465
500421,214,2/7/2025,NetBanking,133763
500422,5017,9/12/2024,NetBanking,147226
500423,4252,6/10/2025,Wallet,38519
500424,3949,7/21/2024,Wallet,34000
500425,8294,7/22/2025,Cash on Delivery,116056
500426,712,1/16/2025,NetBanking,213498
500427,2571,2/2/2025,Cash on Delivery,107285
500428,7469,8/11/2025,UPI,18240
500429,5406,3/26/2022,Credit Card,51316
500430,1571,10/25/2023,Credit Card,32787
500431,4319,1/3/2025,Debit Card,63373
500432,6922,8/5/2025,NetBanking,107523
500433,5243,5/23/2023,Debit Card,57100
500434,7615,10/1/2024,Debit Card,589966
500435,2691,11/5/2024,Debit Card,124441
500436,9454,4/14/2025,Wallet,88158
500437,142,12/23/2024,Wallet,21007
500438,3228,11/24/2023,Wallet,363386
500439,4694,1/29/2023,UPI,138321
500440,3850,11/7/2023,UPI,805990
500441,6877,5/3/2025,NetBanking,74483
500442,9786,6/29/2024,NetBanking,78978
500443,3506,8/31/2024,UPI,775229
500444,339,9/20/2023,NetBanking,43559
500445,4998,7/2/2025,Wallet,22188
500446,1061,10/13/2024,UPI,109717
500447,7480,7/9/2025,NetBanking,215044
500448,9997,5/9/2025,UPI,91234
500449,7400,4/10/2024,Wallet,264074
500450,2841,9/22/2023,UPI,160410
500451,7682,3/24/2025,Credit Card,227720
500452,7076,11/28/2024,UPI,418506
500453,3260,11/9/2024,UPI,20040
500454,1650,5/9/2024,NetBanking,46933
500455,7657,6/4/2025,UPI,453391
500456,8536,2/14/2025,Wallet,48076
500457,5043,10/6/2024,Debit Card,187806
500458,159,12/24/2024,UPI,159480
500459,1078,5/16/2022,Cash on Delivery,68940
500460,445,7/22/2023,Cash on Delivery,480200
500461,2262,7/6/2023,Credit Card,111864
500462,7972,11/23/2023,Debit Card,16454
500463,2661,9/25/2024,NetBanking,206017
500464,4710,8/19/2022,Cash on Delivery,37166
500465,5144,10/22/2024,Cash on Delivery,6248
500466,5197,6/15/2023,NetBanking,37170
500467,2640,7/3/2025,Debit Card,105000
500468,508,4/24/2023,NetBanking,66424
500469,5827,7/12/2025,NetBanking,24696
500470,4350,1/30/2023,Credit Card,99816
500471,1111,4/30/2025,Credit Card,94778
500472,3720,8/18/2022,Wallet,254941
500473,9036,5/18/2025,Cash on Delivery,220056
500474,122,10/16/2023,NetBanking,40890
500475,8014,3/26/2025,NetBanking,273000
500476,1446,2/8/2025,UPI,225902
500477,3461,6/15/2025,Cash on Delivery,17738
500478,1486,10/27/2023,Debit Card,48496
500479,1473,3/24/2025,Wallet,160942
500480,7665,6/18/2023,Wallet,38520
500481,5164,2/3/2023,Wallet,81600
500482,1420,1/10/2025,Cash on Delivery,544067
500483,4745,12/7/2023,Debit Card,187989
500484,4292,9/29/2024,Credit Card,226687
500485,6002,9/6/2024,UPI,136647
500486,6141,5/1/2025,Debit Card,234570
500487,6230,8/12/2024,Credit Card,295425
500488,5531,11/19/2024,Debit Card,104772
500489,2169,4/3/2024,UPI,120930
500490,5863,10/19/2024,Wallet,225871
500491,1743,1/3/2025,UPI,305253
500492,4691,3/4/2025,NetBanking,222787
500493,1514,8/22/2023,UPI,64481
500494,6864,2/17/2025,Credit Card,1031574
500495,5623,7/1/2025,Debit Card,913695
500496,6484,5/11/2025,NetBanking,104856
500497,4108,6/29/2024,Credit Card,12780
500498,7580,5/12/2025,NetBanking,19466
500499,2088,6/26/2025,Debit Card,21932
500500,6137,7/27/2024,UPI,180977
500501,1338,9/3/2024,UPI,813568
500502,4624,4/6/2023,Wallet,143264
500503,1283,9/22/2024,UPI,12563
500504,1161,6/16/2024,Debit Card,60000
500505,5148,5/31/2022,UPI,61465
500506,5136,11/20/2022,Debit Card,289800
500507,5518,3/3/2023,Debit Card,111036
500508,2412,7/20/2025,Wallet,191854
500509,7670,12/20/2023,Cash on Delivery,77754
500510,8899,1/17/2025,Cash on Delivery,279652
500511,9584,9/22/2024,Cash on Delivery,454414
500512,4492,5/11/2024,Cash on Delivery,536142
500513,769,6/27/2024,UPI,422684
500514,6284,3/11/2025,NetBanking,701172
500515,1037,3/24/2025,Debit Card,80426
500516,9424,7/19/2025,Credit Card,67892
500517,2305,7/27/2024,Credit Card,225248
500518,5626,8/16/2024,Cash on Delivery,129441
500519,417,2/17/2025,UPI,88361
500520,7476,6/7/2025,Cash on Delivery,196373
500521,1128,3/18/2023,NetBanking,142348
500522,4868,12/11/2023,Wallet,27600
500523,2963,12/19/2024,Cash on Delivery,197543
500524,899,5/9/2024,Credit Card,30000
500525,9201,3/23/2025,NetBanking,57600
500526,1725,5/16/2023,Cash on Delivery,269484
500527,8794,11/3/2024,NetBanking,7387
500528,7329,8/14/2025,UPI,645886
500529,682,11/3/2022,NetBanking,48306
500530,5336,1/4/2025,Cash on Delivery,304857
500531,733,11/8/2024,NetBanking,345480
500532,4579,1/5/2024,NetBanking,717715
500533,1911,8/28/2023,UPI,131619
500534,582,8/21/2024,Debit Card,421586
500535,7652,6/24/2024,Wallet,543279
500536,4044,9/6/2024,UPI,38179
500537,1197,11/17/2024,Wallet,754770
500538,5450,1/31/2024,UPI,205449
500539,4052,6/2/2025,Wallet,18817
500540,2111,10/20/2024,Debit Card,176958
500541,5776,4/10/2024,Wallet,920088
500542,8305,10/25/2024,UPI,1235038
500543,2031,7/4/2023,Credit Card,5914
500544,192,3/10/2025,Debit Card,147850
500545,1478,8/20/2024,Cash on Delivery,166369
500546,1769,6/25/2025,NetBanking,122850
500547,1184,12/23/2023,UPI,212928
500548,7524,1/2/2025,Credit Card,165598
500549,6161,7/10/2025,Debit Card,28938
500550,8165,6/2/2024,UPI,135462
500551,6476,6/20/2023,NetBanking,405504
500552,4630,12/18/2024,UPI,424960
500553,81,9/16/2024,Cash on Delivery,252518
500554,5670,6/28/2024,UPI,396629
500555,807,8/9/2025,Debit Card,48460
500556,2937,2/11/2025,Credit Card,110179
500557,8346,6/26/2024,Debit Card,192389
500558,2152,12/7/2024,Wallet,515894
500559,3167,10/24/2023,Wallet,541395
500560,8437,7/29/2024,Wallet,614334
500561,5808,4/21/2025,Credit Card,56707
500562,6001,9/21/2024,Wallet,121845
500563,8300,6/9/2024,Credit Card,95783
500564,5955,10/25/2024,Credit Card,158192
500565,2867,1/4/2025,Debit Card,105195
500566,3508,1/11/2025,Wallet,7054
500567,455,11/16/2024,Wallet,55106
500568,8938,5/11/2025,Credit Card,149154
500569,3283,1/27/2024,Cash on Delivery,70160
500570,6423,4/20/2024,Wallet,333420
500571,3480,9/30/2024,NetBanking,26435
500572,5509,8/16/2024,UPI,84600
500573,5915,12/21/2023,Wallet,46579
500574,3163,5/3/2024,NetBanking,35640
500575,4332,6/7/2023,Credit Card,311262
500576,7570,2/14/2025,Credit Card,108712
500577,2907,3/11/2024,Credit Card,177733
500578,7700,10/11/2024,NetBanking,57855
500579,9263,5/23/2023,UPI,105000
500580,2356,12/29/2024,Debit Card,98361
500581,4608,11/25/2024,Debit Card,25836
500582,5704,2/27/2024,UPI,73700
500583,8128,3/12/2024,Debit Card,9880
500584,1288,3/4/2025,UPI,202268
500585,7520,4/27/2025,Wallet,30173
500586,6625,10/18/2023,Debit Card,19306
500587,3139,7/31/2025,UPI,170790
500588,9987,4/6/2024,UPI,26440
500589,1868,10/1/2023,UPI,58293
500590,933,4/29/2024,Debit Card,223334
500591,5112,8/13/2024,Cash on Delivery,11400
500592,9088,9/2/2024,NetBanking,448732
500593,3741,12/11/2024,UPI,225193
500594,5123,1/25/2025,Debit Card,26400
500595,4654,6/26/2023,Wallet,8058
500596,1916,1/13/2025,UPI,148645
500597,2407,1/18/2025,Debit Card,104368
500598,2054,10/9/2023,Debit Card,86303
500599,9830,11/17/2023,Credit Card,168976
500600,6221,6/28/2025,Cash on Delivery,77085
500601,6250,2/2/2025,Cash on Delivery,135506
500602,4812,12/13/2023,Debit Card,21435
500603,263,8/9/2025,Debit Card,9400
500604,6406,9/16/2023,Cash on Delivery,274645
500605,5336,5/24/2025,Debit Card,319248
500606,1153,12/17/2024,NetBanking,531807
500607,7588,12/29/2022,Wallet,17732
500608,6994,3/27/2025,Wallet,125137
500609,9510,4/3/2024,Debit Card,123809
500610,3629,7/22/2024,Cash on Delivery,212374
500611,7947,1/20/2023,Wallet,41300
500612,8919,4/9/2025,Credit Card,205749
500613,3629,5/26/2025,UPI,909514
500614,7686,12/7/2023,NetBanking,92692
500615,9029,5/10/2025,Credit Card,157157
500616,8190,5/20/2025,Credit Card,353371
500617,9048,11/17/2023,Cash on Delivery,51830
500618,3415,12/24/2023,UPI,127904
500619,5941,12/28/2024,Debit Card,16107
500620,550,11/8/2023,UPI,41240
500621,7751,8/23/2024,Cash on Delivery,49395
500622,8020,5/24/2024,Wallet,374730
500623,6578,3/31/2025,Debit Card,165690
500624,6902,10/30/2022,Debit Card,216774
500625,1789,5/8/2025,Debit Card,174986
500626,7088,6/10/2025,Cash on Delivery,66652
500627,8677,2/15/2025,NetBanking,79115
500628,5798,3/24/2025,Credit Card,298733
500629,2144,7/28/2025,Wallet,53004
500630,637,4/4/2025,Debit Card,44539
500631,5378,12/12/2023,Debit Card,2790
500632,9626,3/3/2023,Debit Card,298915
500633,2009,12/1/2023,NetBanking,291737
500634,4191,5/4/2025,Debit Card,248659
500635,8690,10/31/2023,Credit Card,260359
500636,2052,8/30/2024,NetBanking,49846
500637,5188,11/6/2024,Wallet,44737
500638,112,2/17/2023,Cash on Delivery,88944
500639,1468,6/6/2025,UPI,222719
500640,889,8/18/2024,NetBanking,107681
