order_id,product_id,quantity,discount,Payment_Mode
500025,2325,3,13%,Credit Card
500025,4780,1,15%,Credit Card
500026,3169,4,9%,Debit Card
500027,4627,1,14%,UPI
500027,2979,3,10%,COD
500027,2505,4,1%,COD
500027,3481,4,7%,Wallet
500027,4692,1,8%,COD
500028,1607,3,3%,COD
500029,2325,4,19%,Credit Card
500029,4819,3,10%,Debit Card
500029,4001,4,12%,Debit Card
500029,4297,4,0%,UPI
500030,3359,2,5%,Wallet
500030,4224,1,19%,COD
500031,4560,1,13%,Credit Card
500031,1992,2,10%,Credit Card
500031,1926,3,17%,Wallet
500031,3109,1,17%,UPI
500032,1853,3,14%,COD
500033,2587,4,1%,COD
500033,3990,3,12%,Wallet
500033,1233,4,8%,Debit Card
500033,1126,4,6%,UPI
500033,3944,1,12%,UPI
500034,1621,2,3%,UPI
500034,4530,1,0%,UPI
500034,2220,2,13%,Credit Card
500034,1561,2,17%,Debit Card
500034,3824,4,15%,NetBanking
500035,2412,1,13%,Credit Card
500035,1993,3,8%,NetBanking
500035,2875,2,17%,NetBanking
500035,4927,1,20%,Credit Card
500035,3760,2,7%,NetBanking
500036,4423,2,9%,Wallet
500037,3790,2,25%,Wallet
500038,2834,2,19%,Debit Card
500038,4058,3,24%,Wallet
500039,1218,1,15%,COD
500039,2642,2,16%,Wallet
500039,2760,3,3%,Credit Card
500039,1878,1,1%,Debit Card
500039,4230,3,13%,COD
500040,1782,1,0%,UPI
500040,3343,2,8%,COD
500040,1712,1,2%,Credit Card
500041,3332,3,10%,Debit Card
500041,4225,3,5%,COD
500042,1569,2,15%,UPI
500043,1639,2,11%,Wallet
500043,2304,4,0%,COD
500043,1999,2,2%,Debit Card
500044,1050,1,7%,NetBanking
500044,3119,4,24%,UPI
500044,2026,4,0%,UPI
500045,2903,2,9%,Debit Card
500045,3097,3,19%,NetBanking
500045,3726,1,11%,UPI
500045,1239,3,15%,Wallet
500046,1612,1,8%,Debit Card
500046,1967,2,12%,Credit Card
500046,2225,1,16%,NetBanking
500046,3079,1,4%,NetBanking
500046,2903,2,17%,NetBanking
500047,2662,1,16%,COD
500047,3805,3,23%,COD
500048,1486,2,16%,Debit Card
500048,1497,1,14%,Credit Card
500049,3354,1,18%,Credit Card
500049,2433,1,0%,COD
500049,4328,3,18%,COD
500050,2297,2,1%,COD
500050,3879,4,3%,Credit Card
500050,4549,4,16%,UPI
500051,2758,3,8%,COD
500051,1981,1,14%,Wallet
500051,2840,3,4%,NetBanking
500052,1961,2,4%,Debit Card
500053,2924,2,12%,Credit Card
500053,4817,1,6%,NetBanking
500053,1377,4,16%,UPI
500053,3070,4,3%,UPI
500054,1826,2,5%,Debit Card
500054,2855,3,17%,COD
500055,1506,1,8%,NetBanking
500055,3816,4,16%,Wallet
500055,1539,4,0%,Debit Card
500055,1794,4,3%,Wallet
500056,4491,3,6%,COD
500056,4720,3,8%,Debit Card
500056,4972,1,0%,Wallet
500056,3373,1,5%,UPI
500056,2778,2,21%,NetBanking
500057,3051,1,4%,Debit Card
500058,1422,4,10%,NetBanking
500058,3533,4,0%,NetBanking
500059,1108,3,10%,Debit Card
500059,1475,2,9%,COD
500060,4823,4,13%,Wallet
500060,4848,4,1%,Wallet
500060,2266,2,19%,Debit Card
500060,3377,4,6%,Credit Card
500060,1707,2,5%,UPI
500061,1225,2,0%,Wallet
500061,3142,2,13%,Credit Card
500061,2689,2,9%,COD
500061,3670,2,6%,Debit Card
500062,1705,4,7%,Wallet
500062,2209,2,21%,UPI
500062,4474,4,16%,Credit Card
500062,2192,2,10%,Wallet
500063,2930,4,12%,Debit Card
500063,1856,4,8%,Wallet
500063,1123,2,14%,COD
500063,4740,1,14%,COD
500064,4646,4,9%,Credit Card
500065,2684,2,10%,NetBanking
500065,2533,3,6%,Credit Card
500066,1319,1,12%,NetBanking
500066,2902,3,0%,COD
500066,4474,1,0%,NetBanking
500066,2073,4,7%,NetBanking
500066,3253,2,17%,Wallet
500067,3068,2,7%,Credit Card
500067,2903,1,2%,Debit Card
500068,4591,1,11%,Credit Card
500069,2511,2,6%,Wallet
500069,2134,1,9%,Debit Card
500069,2420,1,9%,Debit Card
500069,3968,4,19%,Credit Card
500069,2034,1,5%,Debit Card
500070,4813,1,4%,Credit Card
500070,3504,1,7%,NetBanking
500070,4784,2,13%,Debit Card
500071,1759,3,5%,Debit Card
500071,1361,2,7%,NetBanking
500071,4858,3,9%,NetBanking
500071,2418,4,0%,Wallet
500071,3230,3,8%,Wallet
500072,4330,4,5%,Wallet
500072,1113,2,8%,NetBanking
500073,3732,4,13%,UPI
500073,4177,2,6%,Credit Card
500073,1592,3,16%,UPI
500073,2978,3,13%,NetBanking
500073,3359,1,7%,COD
500074,2068,4,9%,COD
500074,2472,4,8%,Credit Card
500074,2733,1,11%,Wallet
500074,4257,2,6%,UPI
500075,4305,2,6%,NetBanking
500075,4157,2,12%,UPI
500075,4711,2,11%,COD
500076,2943,1,0%,COD
500076,3969,3,11%,Wallet
500076,1701,2,5%,Debit Card
500077,3898,2,6%,NetBanking
500077,3326,1,3%,Debit Card
500078,4517,1,11%,UPI
500078,2450,1,13%,Debit Card
500079,3363,1,5%,Debit Card
500079,4739,3,21%,Wallet
500080,1115,2,10%,UPI
500080,4240,1,8%,Debit Card
500080,4754,4,0%,NetBanking
500081,3069,4,9%,UPI
500081,4563,2,15%,COD
500082,1382,3,0%,COD
500082,4757,1,0%,NetBanking
500082,4434,1,12%,Credit Card
500083,2579,1,10%,Debit Card
500084,4695,3,12%,NetBanking
500084,3067,2,8%,Debit Card
500084,1024,2,10%,Debit Card
500085,2209,1,0%,COD
500085,3296,3,11%,UPI
500085,1956,4,8%,COD
500085,3086,1,13%,UPI
500085,1149,1,22%,UPI
500086,4556,4,12%,Wallet
500086,2929,3,0%,Credit Card
500086,3698,1,8%,Wallet
500086,2689,3,6%,COD
500087,4074,3,15%,UPI
500088,3155,3,3%,Credit Card
500088,1590,2,9%,Wallet
500088,2780,3,5%,Credit Card
500088,3077,1,8%,NetBanking
500089,4348,2,0%,Debit Card
500089,3257,3,0%,Credit Card
500089,2908,3,4%,Credit Card
500089,4952,2,18%,UPI
500089,1122,4,16%,COD
500090,1728,1,2%,Debit Card
500090,4428,4,12%,Wallet
500090,3721,3,8%,UPI
500090,4708,3,8%,NetBanking
500090,1180,1,0%,Wallet
500091,2007,4,0%,UPI
500091,3450,2,11%,Credit Card
500092,4336,4,8%,Wallet
500093,3184,2,13%,Debit Card
500093,3839,2,19%,COD
500094,1008,4,0%,NetBanking
500095,3441,1,9%,COD
500095,4274,2,20%,NetBanking
500095,1757,2,13%,NetBanking
500096,2628,1,15%,Debit Card
500096,2549,2,22%,Wallet
500096,4780,1,15%,Debit Card
500097,4414,4,11%,NetBanking
500097,3774,3,12%,Wallet
500097,3643,3,10%,Credit Card
500097,4090,1,0%,Debit Card
500098,4655,4,21%,Debit Card
500098,3249,1,5%,COD
500098,2097,4,3%,Wallet
500098,4331,2,7%,Credit Card
500099,3682,3,0%,NetBanking
500099,2858,4,15%,NetBanking
500100,1737,1,17%,UPI
500100,2729,3,14%,COD
500100,4458,3,3%,UPI
500100,4874,2,17%,COD
500101,2046,2,11%,COD
500101,3335,3,0%,Wallet
500101,2408,3,10%,Debit Card
500102,3114,3,1%,COD
500102,2370,1,18%,Debit Card
500102,3010,3,17%,Credit Card
500102,2489,4,3%,NetBanking
500102,3416,3,5%,Credit Card
500103,1350,3,7%,Credit Card
500104,4761,1,15%,Debit Card
500105,4130,2,2%,Wallet
500105,1939,4,18%,Credit Card
500105,3497,2,10%,COD
500106,3566,1,4%,COD
500106,3288,4,12%,COD
500107,2564,1,0%,Credit Card
500108,4377,3,12%,NetBanking
500109,1275,4,11%,Credit Card
500109,3065,1,16%,Debit Card
500109,4716,3,14%,NetBanking
500109,2553,4,1%,Credit Card
500110,4149,3,21%,Wallet
500110,1165,1,21%,UPI
500111,2423,4,16%,COD
500111,3155,4,5%,Credit Card
500111,1672,2,4%,COD
500111,1368,2,9%,Credit Card
500112,3246,4,5%,UPI
500112,4427,4,1%,NetBanking
500113,2018,3,21%,Credit Card
500113,2052,2,0%,COD
500113,1799,2,3%,Wallet
500113,2790,2,20%,Wallet
500114,2947,2,16%,Debit Card
500114,1533,2,16%,Credit Card
500114,2413,4,16%,Debit Card
500114,1434,2,15%,NetBanking
500115,4255,3,24%,Debit Card
500115,4680,1,10%,NetBanking
500116,3215,3,10%,Debit Card
500116,4970,2,9%,COD
500117,4535,4,0%,Wallet
500117,4747,1,11%,UPI
500117,4716,2,11%,UPI
500118,1116,1,17%,UPI
500118,4585,3,17%,NetBanking
500118,4490,2,6%,NetBanking
500118,3597,3,0%,COD
500118,3124,2,10%,COD
500119,2793,1,1%,Credit Card
500119,1893,3,6%,UPI
500120,3422,3,20%,Debit Card
500121,4737,2,16%,Wallet
500121,1873,3,0%,NetBanking
500121,3481,4,7%,Credit Card
500121,3661,2,11%,Wallet
500122,3640,4,8%,Wallet
500122,3599,1,8%,COD
500122,3548,1,3%,Debit Card
500122,1870,3,0%,UPI
500123,3427,4,13%,NetBanking
500123,4034,4,0%,NetBanking
500124,2216,1,14%,COD
500124,1166,2,0%,Debit Card
500124,2761,4,0%,Debit Card
500124,3158,1,0%,Debit Card
500124,4760,4,5%,Debit Card
500125,3012,4,7%,NetBanking
500125,4204,2,3%,Debit Card
500125,3528,2,7%,NetBanking
500125,1420,3,10%,COD
500126,1790,4,14%,COD
500127,3848,3,22%,Debit Card
500127,2722,1,0%,NetBanking
500127,1920,1,12%,Credit Card
500128,1381,4,12%,UPI
500129,4137,2,3%,COD
500129,4550,2,10%,Wallet
500129,3736,1,20%,Wallet
500129,4103,3,16%,Wallet
500130,4973,3,0%,Debit Card
500130,3685,3,20%,Credit Card
500130,3216,3,0%,COD
500130,4543,3,12%,Credit Card
500130,1931,3,1%,COD
500131,2930,2,10%,Debit Card
500131,2252,3,1%,NetBanking
500131,4368,3,0%,NetBanking
500132,1211,3,8%,Debit Card
500133,4804,1,7%,NetBanking
500133,1973,1,6%,Wallet
500134,3827,4,3%,NetBanking
500134,4540,3,19%,Credit Card
500134,3425,2,4%,COD
500134,1810,3,16%,NetBanking
500134,2597,4,8%,Debit Card
500135,3581,4,4%,Credit Card
500135,3640,1,9%,NetBanking
500135,4673,1,5%,Credit Card
500136,4916,2,8%,NetBanking
500136,2133,3,3%,Wallet
500137,4690,1,14%,Debit Card
500138,2329,4,8%,Credit Card
500138,3762,3,12%,COD
500138,4428,2,4%,NetBanking
500139,1384,2,13%,Debit Card
500139,2298,2,7%,NetBanking
500139,1109,3,1%,COD
500140,1563,2,4%,UPI
500141,2630,3,12%,Debit Card
500142,2071,1,11%,UPI
500142,4227,1,10%,NetBanking
500142,4657,1,7%,Debit Card
500143,2719,1,9%,COD
500143,3994,3,5%,Debit Card
500143,4929,1,16%,COD
500144,2578,2,0%,NetBanking
500144,2214,3,12%,Credit Card
500144,2120,4,6%,Wallet
500144,1308,4,18%,Wallet
500144,1791,4,0%,COD
500145,4078,3,8%,NetBanking
500145,4332,3,2%,COD
500146,1857,1,0%,Debit Card
500146,2231,3,14%,NetBanking
500147,2049,3,11%,COD
500147,2392,2,15%,COD
500147,2006,4,11%,COD
500147,3925,2,15%,UPI
500148,2642,2,10%,NetBanking
500149,3320,2,5%,COD
500149,3610,4,10%,Wallet
500149,3190,1,1%,UPI
500149,3120,4,7%,UPI
500149,4361,3,6%,Debit Card
500150,3037,4,15%,Credit Card
500151,1611,4,5%,Credit Card
500151,3105,2,4%,Debit Card
500151,2906,1,13%,UPI
500151,4553,1,12%,Credit Card
500151,1921,1,4%,Debit Card
500152,3555,2,8%,Wallet
500152,4276,4,1%,Debit Card
500152,1312,2,15%,NetBanking
500152,2970,1,12%,COD
500152,2022,4,6%,Debit Card
500153,3232,2,3%,Debit Card
500153,4455,1,0%,Debit Card
500153,4646,1,10%,NetBanking
500153,2620,4,8%,Wallet
500153,3764,3,17%,Wallet
500154,1265,4,3%,Wallet
500155,4589,4,17%,COD
500155,3904,1,9%,Debit Card
500155,2140,3,19%,Debit Card
500156,4323,4,10%,NetBanking
500156,2713,4,1%,Debit Card
500156,3469,4,0%,UPI
500157,1027,2,9%,UPI
500157,4844,4,2%,Debit Card
500157,1279,3,11%,COD
500158,3015,3,10%,Debit Card
500158,2554,4,5%,NetBanking
500159,3123,2,7%,UPI
500159,4492,3,4%,Debit Card
500159,3613,2,1%,Debit Card
500160,2459,3,18%,Credit Card
500160,3102,2,5%,Wallet
500161,4330,3,6%,UPI
500161,3320,4,8%,UPI
500162,1499,2,20%,Wallet
500162,2283,2,8%,Wallet
500162,3656,4,7%,NetBanking
500162,1510,1,15%,Wallet
500162,4206,1,4%,Credit Card
500163,3403,3,2%,NetBanking
500163,3618,2,8%,Wallet
500163,3919,1,2%,NetBanking
500164,3314,2,9%,Credit Card
500164,1036,2,15%,Credit Card
500164,3070,3,16%,Credit Card
500164,3645,3,4%,Credit Card
500165,4108,3,11%,Credit Card
500165,1457,3,10%,COD
500165,4453,3,15%,Credit Card
500166,3761,1,1%,Debit Card
500166,1707,4,4%,COD
500166,2648,4,5%,Credit Card
500166,2070,3,6%,UPI
500167,3034,1,0%,Debit Card
500168,1082,3,0%,UPI
500168,4354,4,6%,Debit Card
500169,2213,2,18%,Credit Card
500170,4963,3,10%,COD
500171,1904,4,10%,Credit Card
500171,1335,1,8%,Credit Card
500171,4520,3,21%,Wallet
500172,4885,3,0%,UPI
500172,1811,4,4%,COD
500172,3621,4,6%,UPI
500172,1090,1,0%,NetBanking
500172,1864,4,15%,Credit Card
500173,3231,2,20%,Wallet
500173,4088,4,1%,NetBanking
500174,2030,2,6%,Debit Card
500174,3926,3,11%,Wallet
500175,2114,1,15%,Wallet
500175,1895,2,1%,COD
500175,1538,1,12%,Debit Card
500175,4820,1,2%,UPI
500175,1621,3,14%,NetBanking
500176,4812,4,28%,Debit Card
500176,4943,2,2%,UPI
500176,4747,1,0%,Credit Card
500177,4192,2,12%,NetBanking
500178,1765,1,11%,Credit Card
500178,1719,1,6%,Credit Card
500178,2713,3,1%,COD
500178,3343,1,0%,NetBanking
500179,1592,1,0%,Wallet
500180,3976,4,8%,UPI
500181,3625,3,9%,Wallet
500181,2258,4,6%,Wallet
500181,3370,1,0%,UPI
500181,3182,2,12%,Credit Card
500181,2062,1,10%,Wallet
500182,1137,1,10%,NetBanking
500182,4028,3,4%,Wallet
500182,1821,2,6%,Wallet
500183,1624,2,7%,Debit Card
500183,3617,4,0%,COD
500184,3855,3,10%,COD
500184,1896,2,7%,Credit Card
500184,4640,4,5%,Wallet
500185,3779,4,0%,NetBanking
500185,2954,2,5%,UPI
500185,2204,3,5%,Credit Card
500185,3861,2,7%,UPI
500185,4367,3,7%,NetBanking
500186,2608,3,12%,Credit Card
500186,3635,1,11%,UPI
500186,4164,2,0%,Debit Card
500186,4711,4,9%,Debit Card
500186,2324,3,21%,COD
500187,4483,2,4%,NetBanking
500187,1008,1,0%,UPI
500187,2687,3,6%,UPI
500187,2200,3,10%,COD
500188,1311,3,5%,UPI
500189,4837,3,13%,Credit Card
500189,3999,3,10%,Debit Card
500189,3697,3,5%,Wallet
500189,4359,3,14%,Debit Card
500189,2230,4,12%,COD
500190,2803,2,21%,UPI
500190,4307,3,5%,NetBanking
500190,3964,4,7%,UPI
500191,3075,3,10%,NetBanking
500191,3949,1,10%,NetBanking
500191,4306,3,4%,Wallet
500192,2174,3,22%,Wallet
500192,4651,4,0%,Credit Card
500192,1586,3,12%,UPI
500193,3247,4,4%,Wallet
500194,3479,1,4%,Credit Card
500195,4878,3,12%,Wallet
500196,4729,2,10%,NetBanking
500197,2365,4,4%,Debit Card
500197,1998,4,6%,Credit Card
500197,1661,3,8%,Wallet
500198,4552,2,11%,Debit Card
500199,1258,1,13%,Wallet
500199,3091,1,8%,COD
500199,2273,2,19%,UPI
500200,4482,4,3%,Wallet
500201,4589,2,19%,UPI
500201,3775,4,0%,Debit Card
500201,2603,4,10%,Debit Card
500201,1429,1,15%,Wallet
500202,2009,1,15%,NetBanking
500202,3392,3,19%,COD
500202,1417,2,13%,Credit Card
500202,3732,3,16%,COD
500203,2804,4,0%,Wallet
500203,1093,4,8%,Wallet
500203,3462,3,10%,Credit Card
500203,3282,4,6%,NetBanking
500204,3179,4,6%,COD
500204,4025,1,0%,Debit Card
500204,4404,2,13%,NetBanking
500204,2434,2,6%,UPI
500204,2972,4,0%,NetBanking
500205,4224,2,16%,COD
500205,3377,1,9%,Wallet
500205,2230,1,0%,UPI
500205,2410,3,11%,UPI
500206,1398,3,8%,Credit Card
500206,4923,4,0%,NetBanking
500206,4978,3,15%,Wallet
500206,3814,3,9%,Wallet
500207,3453,1,8%,Credit Card
500208,3217,1,11%,Wallet
500208,2071,1,8%,UPI
500208,3661,1,2%,COD
500208,2302,4,2%,NetBanking
500208,3030,3,9%,Debit Card
500209,4082,4,13%,Wallet
500209,2688,3,5%,NetBanking
500210,3282,1,16%,Debit Card
500210,3981,3,17%,Credit Card
500211,2769,3,6%,Debit Card
500211,2457,3,10%,COD
500211,2602,1,2%,Debit Card
500212,3035,2,0%,Credit Card
500212,3636,4,7%,Credit Card
500213,4575,3,3%,COD
500213,3843,2,15%,COD
500213,1023,4,19%,Debit Card
500213,1260,4,4%,Credit Card
500213,3725,1,5%,NetBanking
500214,3464,1,15%,Wallet
500214,4742,2,5%,COD
500215,4686,3,10%,Credit Card
500215,4796,3,7%,UPI
500215,4929,3,13%,Wallet
500215,2867,3,11%,UPI
500216,3599,3,9%,Credit Card
500216,3577,4,9%,NetBanking
500217,2062,3,9%,Debit Card
500218,2756,4,11%,Wallet
500218,2005,1,13%,COD
500219,2161,1,6%,COD
500219,2650,4,4%,Debit Card
500219,2457,1,15%,Wallet
500219,2372,2,12%,Wallet
500220,2432,4,23%,UPI
500220,3249,3,6%,UPI
500221,3575,3,2%,UPI
500221,2110,3,15%,UPI
500221,2378,4,12%,Credit Card
500221,4667,1,20%,NetBanking
500221,1509,1,12%,Debit Card
500222,4129,4,8%,Credit Card
500222,3637,3,0%,UPI
500223,3217,4,8%,UPI
500223,3495,2,5%,COD
500223,4194,3,22%,COD
500224,1086,2,11%,Credit Card
500224,3931,1,8%,Debit Card
500224,2506,3,7%,NetBanking
500224,1993,2,11%,Debit Card
500224,2515,2,7%,UPI
500225,1065,4,16%,Wallet
500225,1683,2,8%,NetBanking
500225,4020,3,7%,NetBanking
500225,2425,4,14%,UPI
500225,1227,4,22%,Wallet
500226,1936,4,7%,Credit Card
500226,2842,1,0%,Wallet
500227,2511,1,9%,NetBanking
500228,4308,3,10%,NetBanking
500229,1547,3,6%,NetBanking
500229,4364,2,0%,Credit Card
500229,3359,2,8%,UPI
500230,4734,2,12%,UPI
500230,1660,1,8%,UPI
500230,1178,4,1%,Debit Card
500230,3533,3,0%,UPI
500231,3533,2,8%,NetBanking
500231,3992,4,11%,UPI
500231,3652,1,14%,NetBanking
500232,2528,2,23%,COD
500232,1462,1,6%,UPI
500232,2200,4,15%,Credit Card
500233,2548,4,17%,Wallet
500233,4555,3,17%,Debit Card
500234,4920,1,17%,COD
500234,3287,2,11%,Debit Card
500234,1399,2,27%,Debit Card
500234,2472,3,0%,Wallet
500235,1825,1,7%,NetBanking
500236,2617,1,0%,Debit Card
500237,4746,2,5%,Debit Card
500238,4461,3,21%,Debit Card
500238,2873,1,23%,NetBanking
500238,4759,2,4%,Credit Card
500238,1401,1,12%,Credit Card
500239,4998,2,0%,COD
500239,2791,2,15%,Credit Card
500239,3655,4,19%,COD
500239,2497,3,0%,UPI
500240,2259,4,10%,COD
500240,2428,1,8%,Credit Card
500241,4812,2,0%,NetBanking
500241,4582,2,0%,NetBanking
500242,2246,4,0%,Credit Card
500242,2811,3,4%,NetBanking
500242,1984,3,6%,Wallet
500242,3443,3,4%,UPI
500243,3520,4,0%,Wallet
500243,1233,3,11%,Credit Card
500243,1845,4,15%,COD
500244,2781,4,3%,UPI
500245,4750,4,0%,NetBanking
500245,1104,1,21%,UPI
500245,4909,4,2%,Wallet
500245,3156,2,21%,Wallet
500245,4550,2,6%,NetBanking
500246,2313,4,10%,Credit Card
500246,1699,3,3%,COD
500247,2559,3,12%,Credit Card
500247,3403,2,5%,COD
500247,2282,3,0%,Credit Card
500247,2231,1,21%,NetBanking
500248,3770,2,14%,Debit Card
500248,3671,2,21%,Wallet
500249,1572,4,9%,NetBanking
500250,3729,2,9%,Wallet
500250,4529,1,3%,Debit Card
500250,3589,1,7%,UPI
500250,3988,4,5%,NetBanking
500250,1838,3,12%,Wallet
500251,4815,1,11%,Debit Card
500251,4741,1,3%,UPI
500251,1777,2,6%,COD
500251,2500,1,20%,UPI
500251,3554,3,10%,COD
500252,3902,1,7%,Debit Card
500252,4115,3,14%,Credit Card
500252,1017,4,0%,Debit Card
500253,4237,3,0%,Credit Card
500253,1190,2,11%,Wallet
500253,1191,2,0%,Wallet
500254,4929,1,3%,UPI
500254,3968,3,4%,Debit Card
500254,3165,2,21%,COD
500254,4090,4,14%,Credit Card
500254,1309,2,8%,Credit Card
500255,1898,3,19%,Credit Card
500255,1988,1,11%,UPI
500256,1777,3,21%,COD
500257,3795,3,2%,NetBanking
500257,4497,3,19%,COD
500258,4020,4,11%,Wallet
500259,1838,1,8%,Wallet
500259,3692,2,23%,Debit Card
500259,3078,2,13%,Debit Card
500259,4808,1,7%,Wallet
500259,1020,2,14%,Wallet
500260,2412,2,0%,COD
500260,1915,2,7%,UPI
500260,1978,1,4%,Credit Card
500260,4758,3,1%,UPI
500260,4661,3,12%,Debit Card
500261,3083,1,1%,COD
500261,1058,4,9%,COD
500262,1012,4,7%,Wallet
500262,1644,1,7%,Debit Card
500263,4790,1,12%,Wallet
500264,4636,1,9%,COD
500264,3173,2,9%,COD
500264,1215,1,6%,COD
500264,3633,1,6%,Credit Card
500264,3906,2,10%,COD
500265,3966,4,8%,Debit Card
500266,2146,1,3%,Credit Card
500267,4160,4,4%,Debit Card
500267,3412,2,11%,UPI
500268,3599,1,0%,NetBanking
500268,3524,2,16%,Credit Card
500268,1997,2,25%,Debit Card
500268,1314,4,6%,Debit Card
500268,4733,4,10%,Credit Card
500269,3613,2,13%,Wallet
500269,3024,2,12%,UPI
500270,2868,4,9%,Credit Card
500270,1456,1,9%,Wallet
500270,2253,1,2%,Debit Card
500270,2085,2,4%,Wallet
500270,1196,1,8%,Credit Card
500271,1493,3,11%,Debit Card
500271,4869,2,7%,Debit Card
500271,2238,3,1%,Wallet
500271,2399,3,8%,Wallet
500271,1716,2,4%,UPI
500272,4038,2,8%,COD
500273,1889,3,20%,Credit Card
500273,1528,1,10%,Debit Card
500274,1345,1,0%,Wallet
500274,3451,1,8%,NetBanking
500274,3953,2,12%,Credit Card
500275,4837,4,7%,Credit Card
500275,1813,4,13%,NetBanking
500276,3407,1,9%,UPI
500276,3579,3,12%,UPI
500276,3809,4,15%,NetBanking
500277,4777,2,18%,UPI
500277,3992,2,0%,NetBanking
500277,2459,1,9%,NetBanking
500278,2890,2,0%,COD
500278,1411,3,12%,NetBanking
500278,1717,2,0%,Wallet
500278,3642,4,3%,Credit Card
500278,4206,3,0%,Credit Card
500279,1590,4,15%,Credit Card
500279,4561,4,5%,NetBanking
500279,1891,3,7%,COD
500279,2370,4,10%,NetBanking
500280,4681,2,8%,UPI
500280,2009,1,0%,Debit Card
500280,3487,1,18%,COD
500280,3696,3,14%,COD
500280,4546,4,10%,COD
500281,4285,4,4%,Debit Card
500281,2463,2,14%,UPI
500281,2865,4,21%,Debit Card
500281,2618,1,8%,Credit Card
500281,2269,3,4%,Credit Card
500282,1182,2,7%,COD
500283,2616,4,2%,UPI
500283,4208,3,5%,Debit Card
500284,2773,3,9%,Debit Card
500284,2086,2,9%,UPI
500284,2046,4,10%,Debit Card
500284,1051,4,7%,Debit Card
500285,1514,3,4%,COD
500285,3621,4,11%,Credit Card
500285,3253,4,4%,Wallet
500285,4488,3,7%,NetBanking
500285,4688,1,5%,Debit Card
500286,4158,1,0%,COD
500286,2554,2,19%,Credit Card
500286,1727,3,10%,Credit Card
500286,2621,2,3%,Wallet
500287,1275,4,0%,NetBanking
500288,3240,4,12%,COD
500288,3203,4,9%,COD
500288,2663,2,10%,Debit Card
500288,1967,2,11%,COD
500288,3504,3,11%,NetBanking
500289,1021,1,12%,UPI
500289,2848,3,3%,Debit Card
500289,1339,3,0%,NetBanking
500290,1722,1,6%,Wallet
500290,4043,4,3%,Wallet
500290,2982,3,1%,Debit Card
500290,4953,4,14%,COD
500291,2572,3,11%,NetBanking
500291,4593,4,7%,COD
500292,4267,2,22%,COD
500292,1241,4,1%,NetBanking
500292,4498,4,8%,Wallet
500292,2250,1,0%,NetBanking
500292,3464,1,20%,UPI
500293,4094,2,20%,NetBanking
500294,2113,4,7%,Credit Card
500295,2344,2,0%,Debit Card
500295,2869,2,3%,UPI
500295,3618,4,10%,COD
500295,3342,2,1%,UPI
500295,1847,3,4%,Wallet
