Return_ID,Order_ID,Reason,Return_Date
900281,524913,Changed Mind,8/9/2025
900282,508534,Size/Fit Issue,12/13/2024
900283,516727,Arrived Late,2/2/2025
900284,524918,Changed Mind,12/29/2024
900285,516728,Quality Not As Expected,2/15/2024
900286,508536,Quality Not As Expected,8/5/2023
900287,516731,Wrong Item Delivered,4/24/2024
900288,524926,Damaged/Defective,7/16/2024
900289,524929,Size/Fit Issue,6/11/2023
900290,500354,Damaged/Defective,9/20/2023
900291,524932,Changed Mind,8/31/2024
900292,500358,Wrong Item Delivered,5/15/2023
900293,516744,Wrong Item Delivered,7/29/2025
900294,500361,Damaged/Defective,4/15/2024
900295,516745,Changed Mind,8/4/2024
900296,524938,Quality Not As Expected,9/2/2024
900297,524944,Changed Mind,7/1/2025
900298,508565,Changed Mind,3/12/2024
900299,524950,Changed Mind,1/8/2023
900300,508570,Arrived Late,10/13/2024
900301,500381,Changed Mind,5/20/2024
900302,516771,Damaged/Defective,1/8/2025
900303,516772,Quality Not As Expected,6/7/2024
900304,524965,Damaged/Defective,6/16/2023
900305,500388,Arrived Late,7/2/2022
900306,508586,Wrong Item Delivered,9/1/2023
900307,516778,Size/Fit Issue,12/30/2024
900308,500398,Wrong Item Delivered,9/27/2024
900309,524976,Damaged/Defective,9/23/2023
900310,524978,Damaged/Defective,12/11/2023
900311,508598,Changed Mind,4/26/2025
900312,524984,Size/Fit Issue,6/24/2024
900313,508604,Wrong Item Delivered,11/11/2024
900314,524989,Arrived Late,5/8/2023
900315,516797,Size/Fit Issue,6/27/2025
900316,500423,Quality Not As Expected,6/24/2025
900317,500426,Wrong Item Delivered,1/20/2025
900318,500427,Arrived Late,2/21/2025
900319,525002,Changed Mind,7/18/2023
900320,508625,Wrong Item Delivered,11/19/2024
900321,500434,Size/Fit Issue,10/24/2024
900322,516823,Damaged/Defective,1/12/2023
900323,500439,Wrong Item Delivered,2/24/2023
900324,508635,Arrived Late,11/21/2024
900325,508637,Changed Mind,10/28/2024
900326,500446,Changed Mind,10/31/2024
900327,516830,Arrived Late,12/22/2023
900328,500448,Arrived Late,6/1/2025
900329,516833,Quality Not As Expected,2/8/2024
900330,500449,Quality Not As Expected,5/3/2024
900331,516834,Wrong Item Delivered,5/21/2025
900332,516836,Wrong Item Delivered,12/7/2024
900333,525028,Damaged/Defective,2/24/2022
900334,525030,Arrived Late,1/23/2025
900335,525031,Damaged/Defective,7/2/2024
900336,500454,Changed Mind,5/22/2024
900337,508646,Changed Mind,12/26/2023
900338,500458,Size/Fit Issue,1/7/2025
900339,525034,Damaged/Defective,2/1/2024
900340,516842,Quality Not As Expected,7/18/2025
900341,500460,Wrong Item Delivered,8/15/2023
900342,525039,Quality Not As Expected,6/23/2025
900343,500468,Changed Mind,5/6/2023
900344,516852,Damaged/Defective,2/27/2025
900345,500470,Quality Not As Expected,1/31/2023
900346,516855,Quality Not As Expected,8/15/2024
900347,508664,Size/Fit Issue,9/16/2024
900348,500469,Changed Mind,8/3/2025
900349,500474,Size/Fit Issue,11/6/2023
900350,516854,Size/Fit Issue,5/22/2023
900351,516861,Damaged/Defective,6/8/2024
900352,516869,Quality Not As Expected,9/19/2023
900353,508678,Wrong Item Delivered,8/22/2024
900354,508680,Changed Mind,4/6/2025
900355,516873,Arrived Late,6/5/2025
900356,500492,Wrong Item Delivered,3/25/2025
900357,500493,Damaged/Defective,8/31/2023
900358,508686,Changed Mind,9/27/2024
900359,516885,Quality Not As Expected,11/28/2024
900360,508694,Size/Fit Issue,4/18/2024
900361,508696,Changed Mind,8/13/2024
900362,525081,Changed Mind,5/27/2025
900363,500506,Wrong Item Delivered,12/8/2022
900364,500505,Arrived Late,6/28/2022
900365,508700,Arrived Late,1/3/2024
900366,525085,Size/Fit Issue,6/4/2025
900367,508703,Changed Mind,6/24/2025
900368,525087,Changed Mind,3/12/2024
900369,525088,Wrong Item Delivered,2/5/2024
900370,508708,Quality Not As Expected,5/8/2024
900371,516901,Changed Mind,6/20/2025
900372,516903,Damaged/Defective,7/29/2024
900373,516909,Quality Not As Expected,8/18/2025
900374,508718,Size/Fit Issue,9/10/2023
900375,500531,Changed Mind,11/17/2024
900376,525111,Arrived Late,12/2/2022
900377,525118,Quality Not As Expected,8/20/2024
900378,516926,Damaged/Defective,10/10/2023
900379,508738,Wrong Item Delivered,12/3/2024
900380,525123,Changed Mind,1/23/2024
900381,508740,Wrong Item Delivered,8/25/2024
900382,516933,Wrong Item Delivered,1/27/2024
900383,508742,Arrived Late,7/16/2025
900384,516934,Quality Not As Expected,6/4/2025
900385,525128,Wrong Item Delivered,2/24/2025
900386,500553,Damaged/Defective,9/18/2024
900387,508746,Size/Fit Issue,12/3/2024
900388,508750,Wrong Item Delivered,4/29/2025
900389,516942,Damaged/Defective,6/4/2024
900390,525138,Size/Fit Issue,5/29/2024
900391,516947,Changed Mind,12/23/2024
900392,508759,Damaged/Defective,12/19/2023
900393,516951,Damaged/Defective,3/7/2025
900394,525148,Arrived Late,12/2/2024
900395,525150,Damaged/Defective,3/17/2024
900396,525151,Quality Not As Expected,7/20/2024
900397,508773,Arrived Late,11/24/2023
900398,525159,Damaged/Defective,7/6/2024
900399,525160,Changed Mind,12/21/2024
900400,500587,Changed Mind,8/14/2025
900401,508781,Wrong Item Delivered,12/15/2024
900402,516974,Arrived Late,8/10/2024
900403,500590,Wrong Item Delivered,5/3/2024
900404,516978,Damaged/Defective,3/4/2024
900405,500598,Changed Mind,11/3/2023
900406,508791,Size/Fit Issue,3/3/2025
900407,508792,Wrong Item Delivered,6/3/2024
900408,525176,Wrong Item Delivered,3/27/2024
900409,500599,Damaged/Defective,11/20/2023
900410,516991,Wrong Item Delivered,3/24/2025
900411,500610,Changed Mind,8/3/2024
900412,525189,Arrived Late,3/28/2024
900413,508806,Changed Mind,5/9/2024
900414,516997,Size/Fit Issue,12/20/2023
900415,525196,Wrong Item Delivered,5/20/2024
900416,517006,Arrived Late,10/18/2024
900417,500623,Size/Fit Issue,4/3/2025
900418,517008,Changed Mind,12/20/2024
900419,508817,Arrived Late,12/2/2023
900420,525204,Damaged/Defective,7/14/2024
900421,517016,Arrived Late,8/5/2025
900422,517018,Size/Fit Issue,6/21/2025
900423,508828,Size/Fit Issue,5/17/2022
900424,508830,Size/Fit Issue,12/11/2024
900425,508832,Quality Not As Expected,3/19/2025
900426,500642,Damaged/Defective,1/31/2024
900427,500643,Size/Fit Issue,2/27/2025
900428,508838,Changed Mind,9/27/2024
900429,517032,Quality Not As Expected,3/13/2024
900430,517034,Damaged/Defective,2/18/2024
900431,500650,Changed Mind,1/15/2024
900432,500651,Quality Not As Expected,8/18/2024
900433,508845,Arrived Late,12/5/2024
900434,508846,Arrived Late,1/13/2025
900435,525230,Arrived Late,11/3/2024
900436,517041,Damaged/Defective,11/5/2024
900437,525234,Damaged/Defective,10/27/2023
900438,525236,Arrived Late,3/3/2024
900439,525240,Arrived Late,3/15/2025
900440,500667,Changed Mind,7/24/2022
900441,517057,Changed Mind,5/27/2024
900442,517058,Arrived Late,4/22/2024
900443,508867,Changed Mind,10/27/2024
900444,525251,Damaged/Defective,11/10/2024
900445,508865,Wrong Item Delivered,11/26/2024
900446,500677,Changed Mind,10/27/2023
900447,525255,Damaged/Defective,11/20/2024
900448,500681,Arrived Late,10/15/2023
900449,508874,Damaged/Defective,1/1/2023
900450,525259,Size/Fit Issue,4/25/2023
900451,517069,Arrived Late,7/26/2024
900452,500688,Quality Not As Expected,5/9/2023
900453,508881,Damaged/Defective,2/27/2025
900454,500690,Changed Mind,12/27/2024
900455,525267,Damaged/Defective,6/1/2024
900456,525266,Size/Fit Issue,5/25/2025
900457,508882,Quality Not As Expected,7/22/2023
900458,517078,Damaged/Defective,4/25/2024
900459,517085,Quality Not As Expected,5/2/2025
900460,525278,Wrong Item Delivered,11/15/2023
900461,517087,Size/Fit Issue,10/29/2024
900462,508896,Changed Mind,3/3/2025
900463,500712,Arrived Late,5/5/2024
900464,517097,Size/Fit Issue,3/11/2025
900465,500715,Damaged/Defective,10/12/2023
900466,500716,Arrived Late,6/4/2025
900467,508909,Damaged/Defective,2/13/2025
900468,517102,Size/Fit Issue,7/21/2024
900469,500719,Arrived Late,5/15/2025
900470,525297,Damaged/Defective,8/22/2025
900471,525299,Arrived Late,12/11/2024
900472,517110,Changed Mind,2/23/2025
900473,500728,Wrong Item Delivered,3/18/2025
900474,508922,Changed Mind,8/10/2024
900475,525309,Size/Fit Issue,8/29/2023
900476,508926,Damaged/Defective,5/9/2025
900477,508927,Damaged/Defective,8/12/2024
900478,508929,Wrong Item Delivered,4/21/2023
900479,525315,Damaged/Defective,1/9/2024
900480,500739,Damaged/Defective,3/23/2024
900481,508933,Changed Mind,4/15/2023
900482,508934,Wrong Item Delivered,5/6/2024
900483,517127,Arrived Late,8/9/2025
900484,525318,Damaged/Defective,8/18/2024
900485,500743,Size/Fit Issue,1/23/2025
900486,525321,Changed Mind,10/6/2023
900487,525325,Damaged/Defective,11/23/2024
900488,525329,Arrived Late,12/16/2023
900489,508946,Quality Not As Expected,7/18/2024
900490,500755,Changed Mind,8/10/2025
900491,525337,Quality Not As Expected,7/20/2024
900492,525340,Size/Fit Issue,4/28/2024
900493,508957,Size/Fit Issue,5/3/2025
900494,517149,Quality Not As Expected,5/22/2025
900495,517155,Changed Mind,4/24/2025
900496,500773,Wrong Item Delivered,4/16/2024
900497,517157,Damaged/Defective,12/27/2024
900498,525351,Size/Fit Issue,1/22/2025
900499,508968,Changed Mind,2/20/2025
900500,517161,Changed Mind,3/6/2025
900501,525357,Arrived Late,2/15/2023
900502,508978,Changed Mind,2/18/2024
900503,525363,Damaged/Defective,11/24/2024
900504,525364,Size/Fit Issue,8/15/2023
900505,508984,Wrong Item Delivered,6/5/2025
900506,517179,Size/Fit Issue,12/15/2023
900507,500796,Wrong Item Delivered,8/4/2023
900508,517181,Arrived Late,8/10/2023
900509,508987,Size/Fit Issue,4/29/2023
900510,508992,Changed Mind,8/7/2025
900511,500801,Wrong Item Delivered,6/3/2024
900512,525376,Size/Fit Issue,3/26/2025
900513,525379,Wrong Item Delivered,6/21/2025
900514,517187,Quality Not As Expected,6/11/2025
900515,508998,Size/Fit Issue,12/3/2024
900516,500811,Quality Not As Expected,9/1/2023
900517,500814,Size/Fit Issue,3/12/2023
900518,509008,Changed Mind,10/13/2023
900519,509009,Wrong Item Delivered,7/26/2023
900520,525393,Wrong Item Delivered,10/23/2024
900521,500819,Size/Fit Issue,10/6/2024
900522,517204,Size/Fit Issue,5/2/2025
900523,509013,Damaged/Defective,8/16/2023
900524,500821,Size/Fit Issue,7/8/2024
900525,525399,Damaged/Defective,5/1/2025
900526,509012,Damaged/Defective,9/1/2023
900527,517213,Size/Fit Issue,5/18/2024
900528,525407,Damaged/Defective,5/17/2025
900529,525409,Wrong Item Delivered,9/3/2023
900530,509026,Size/Fit Issue,11/25/2024
900531,517219,Changed Mind,9/16/2024
900532,517221,Arrived Late,4/16/2022
900533,500838,Arrived Late,9/25/2024
900534,509031,Arrived Late,8/12/2025
900535,525416,Damaged/Defective,1/5/2025
900536,517227,Wrong Item Delivered,4/22/2025
900537,500843,Wrong Item Delivered,1/10/2025
900538,525424,Quality Not As Expected,2/22/2025
900539,500851,Arrived Late,6/12/2025
900540,509044,Arrived Late,1/8/2024
900541,500852,Quality Not As Expected,8/2/2024
900542,517235,Quality Not As Expected,7/6/2025
900543,525435,Size/Fit Issue,11/30/2023
900544,509054,Size/Fit Issue,12/22/2024
900545,517248,Arrived Late,7/30/2025
900546,500865,Size/Fit Issue,3/26/2025
900547,517250,Quality Not As Expected,2/1/2025
900548,509057,Wrong Item Delivered,6/6/2024
900549,500868,Size/Fit Issue,6/3/2025
900550,509056,Wrong Item Delivered,12/6/2024
900551,500872,Damaged/Defective,3/14/2024
900552,509064,Damaged/Defective,12/2/2023
900553,500876,Arrived Late,10/24/2024
900554,525454,Arrived Late,3/28/2024
900555,500881,Size/Fit Issue,2/2/2025
900556,525458,Damaged/Defective,3/18/2025
900557,500884,Changed Mind,9/22/2024
900558,509081,Changed Mind,5/22/2024
900559,525471,Arrived Late,8/24/2024
900560,509087,Arrived Late,5/2/2024
900561,517281,Changed Mind,8/9/2025
900562,517279,Arrived Late,8/8/2024
900563,525473,Changed Mind,6/19/2024
900564,509088,Quality Not As Expected,5/26/2022
900565,500902,Arrived Late,9/22/2024
900566,500905,Size/Fit Issue,12/14/2023
900567,509098,Changed Mind,1/28/2025
900568,509099,Size/Fit Issue,8/9/2025
900569,525484,Size/Fit Issue,7/22/2024
900570,525483,Quality Not As Expected,6/1/2025
900571,525486,Quality Not As Expected,6/7/2025
900572,517295,Damaged/Defective,1/23/2025
900573,517296,Wrong Item Delivered,6/19/2025
900574,517297,Wrong Item Delivered,5/18/2023
900575,509106,Damaged/Defective,6/28/2024
900576,500915,Wrong Item Delivered,1/30/2024
900577,525490,Quality Not As Expected,1/21/2025
900578,517300,Arrived Late,10/20/2023
900579,517301,Quality Not As Expected,2/27/2024
900580,525495,Size/Fit Issue,7/14/2023
900581,517298,Damaged/Defective,7/15/2024
900582,500924,Damaged/Defective,8/1/2024
900583,517308,Size/Fit Issue,10/17/2022
900584,517310,Size/Fit Issue,10/21/2024
900585,517316,Arrived Late,11/15/2024
900586,509126,Arrived Late,7/26/2024
900587,517318,Arrived Late,8/16/2024
900588,525514,Damaged/Defective,1/8/2025
900589,525522,Damaged/Defective,12/25/2024
900590,517333,Wrong Item Delivered,7/16/2025
900591,509143,Wrong Item Delivered,3/5/2024
900592,509144,Quality Not As Expected,6/21/2025
900593,517336,Wrong Item Delivered,4/23/2024
900594,517342,Size/Fit Issue,1/16/2025
900595,525538,Size/Fit Issue,10/2/2024
900596,500963,Quality Not As Expected,10/28/2023
900597,500966,Damaged/Defective,3/22/2023
900598,525547,Quality Not As Expected,5/25/2024
900599,500973,Changed Mind,11/22/2023
900600,525550,Wrong Item Delivered,3/18/2024
900601,525549,Wrong Item Delivered,5/28/2025
900602,517360,Arrived Late,1/21/2024
900603,509171,Changed Mind,5/25/2023
900604,525557,Changed Mind,7/10/2023
900605,509180,Changed Mind,8/2/2025
900606,517378,Arrived Late,7/25/2024
900607,525571,Quality Not As Expected,12/24/2024
900608,500995,Changed Mind,1/13/2025
900609,509188,Quality Not As Expected,8/12/2024
900610,517382,Quality Not As Expected,1/26/2024
900611,517380,Damaged/Defective,8/21/2023
900612,500999,Arrived Late,3/20/2024
900613,525579,Size/Fit Issue,7/19/2025
900614,525580,Changed Mind,12/10/2024
900615,525585,Wrong Item Delivered,4/19/2025
900616,517394,Changed Mind,7/19/2024
900617,525590,Arrived Late,6/17/2025
900618,517398,Arrived Late,5/12/2025
900619,501014,Damaged/Defective,9/9/2024
900620,517402,Changed Mind,10/28/2022
900621,509210,Changed Mind,7/8/2024
900622,517406,Arrived Late,7/19/2023
900623,509219,Quality Not As Expected,1/31/2025
900624,509221,Size/Fit Issue,10/25/2024
900625,501030,Damaged/Defective,3/16/2024
900626,517415,Damaged/Defective,7/10/2024
900627,501032,Quality Not As Expected,1/12/2025
900628,525610,Damaged/Defective,3/25/2024
900629,517420,Size/Fit Issue,4/30/2024
900630,525612,Quality Not As Expected,3/2/2025
900631,517425,Arrived Late,1/25/2025
900632,501041,Size/Fit Issue,3/13/2024
900633,517427,Changed Mind,7/23/2023
900634,525620,Changed Mind,11/23/2024
900635,501044,Changed Mind,1/26/2025
